replicate_id,treatment,bits,operation,time,iterations,compile_time_optimizations
16,bit_vector,16,CountOnes_Mixed,5.122e+06,1000000,1
16,bit_vector,16,NOT,7.7022e+07,1000000,1
16,bit_vector,16,AND,8.0104e+07,1000000,1
16,bit_vector,16,OR,7.8764e+07,1000000,1
16,bit_vector,16,NAND,7.985e+07,1000000,1
16,bit_vector,16,NOR,7.8985e+07,1000000,1
16,bit_vector,16,XOR,8.4459e+07,1000000,1
16,bit_vector,16,EQU,8.2652e+07,1000000,1
16,bit_vector,16,R_SHIFT_0.25l,7.7474e+07,1000000,1
16,bit_vector,16,R_SHIFT_0.5l,7.6865e+07,1000000,1
16,bit_vector,16,R_SHIFT_1l,7.6263e+07,1000000,1
16,bit_vector,16,L_SHIFT_0.25l,7.5186e+07,1000000,1
16,bit_vector,16,L_SHIFT_0.5l,7.3292e+07,1000000,1
16,bit_vector,16,L_SHIFT_1l,7.7137e+07,1000000,1
17,bit_vector,16,CountOnes_Mixed,4.821e+06,1000000,1
17,bit_vector,16,NOT,7.7537e+07,1000000,1
17,bit_vector,16,AND,7.705e+07,1000000,1
17,bit_vector,16,OR,7.812e+07,1000000,1
17,bit_vector,16,NAND,7.9195e+07,1000000,1
17,bit_vector,16,NOR,8.0537e+07,1000000,1
17,bit_vector,16,XOR,7.4764e+07,1000000,1
17,bit_vector,16,EQU,7.6086e+07,1000000,1
17,bit_vector,16,R_SHIFT_0.25l,7.6496e+07,1000000,1
17,bit_vector,16,R_SHIFT_0.5l,7.5578e+07,1000000,1
17,bit_vector,16,R_SHIFT_1l,7.5432e+07,1000000,1
17,bit_vector,16,L_SHIFT_0.25l,7.6893e+07,1000000,1
17,bit_vector,16,L_SHIFT_0.5l,8.0521e+07,1000000,1
17,bit_vector,16,L_SHIFT_1l,8.0298e+07,1000000,1
18,bit_vector,16,CountOnes_Mixed,6.91e+06,1000000,1
18,bit_vector,16,NOT,7.6847e+07,1000000,1
18,bit_vector,16,AND,7.7119e+07,1000000,1
18,bit_vector,16,OR,7.7446e+07,1000000,1
18,bit_vector,16,NAND,7.9064e+07,1000000,1
18,bit_vector,16,NOR,8.0919e+07,1000000,1
18,bit_vector,16,XOR,8.39e+07,1000000,1
18,bit_vector,16,EQU,7.8983e+07,1000000,1
18,bit_vector,16,R_SHIFT_0.25l,7.7478e+07,1000000,1
18,bit_vector,16,R_SHIFT_0.5l,7.5206e+07,1000000,1
18,bit_vector,16,R_SHIFT_1l,7.9366e+07,1000000,1
18,bit_vector,16,L_SHIFT_0.25l,7.7726e+07,1000000,1
18,bit_vector,16,L_SHIFT_0.5l,7.906e+07,1000000,1
18,bit_vector,16,L_SHIFT_1l,8.2129e+07,1000000,1
19,bit_vector,16,CountOnes_Mixed,1.2088e+07,1000000,1
19,bit_vector,16,NOT,8.9982e+07,1000000,1
19,bit_vector,16,AND,8.0902e+07,1000000,1
19,bit_vector,16,OR,7.9173e+07,1000000,1
19,bit_vector,16,NAND,7.7335e+07,1000000,1
19,bit_vector,16,NOR,8.1868e+07,1000000,1
19,bit_vector,16,XOR,7.7825e+07,1000000,1
19,bit_vector,16,EQU,7.979e+07,1000000,1
19,bit_vector,16,R_SHIFT_0.25l,7.6812e+07,1000000,1
19,bit_vector,16,R_SHIFT_0.5l,7.7971e+07,1000000,1
19,bit_vector,16,R_SHIFT_1l,7.4735e+07,1000000,1
19,bit_vector,16,L_SHIFT_0.25l,7.865e+07,1000000,1
19,bit_vector,16,L_SHIFT_0.5l,7.983e+07,1000000,1
19,bit_vector,16,L_SHIFT_1l,9.6522e+07,1000000,1
20,bit_vector,16,CountOnes_Mixed,1.1639e+07,1000000,1
20,bit_vector,16,NOT,7.8501e+07,1000000,1
20,bit_vector,16,AND,7.7763e+07,1000000,1
20,bit_vector,16,OR,9.4426e+07,1000000,1
20,bit_vector,16,NAND,7.6987e+07,1000000,1
20,bit_vector,16,NOR,7.9131e+07,1000000,1
20,bit_vector,16,XOR,8.9272e+07,1000000,1
20,bit_vector,16,EQU,8.4249e+07,1000000,1
20,bit_vector,16,R_SHIFT_0.25l,7.5861e+07,1000000,1
20,bit_vector,16,R_SHIFT_0.5l,7.6917e+07,1000000,1
20,bit_vector,16,R_SHIFT_1l,9.7079e+07,1000000,1
20,bit_vector,16,L_SHIFT_0.25l,9.8244e+07,1000000,1
20,bit_vector,16,L_SHIFT_0.5l,8.0776e+07,1000000,1
20,bit_vector,16,L_SHIFT_1l,8.1453e+07,1000000,1
21,bit_vector,16,CountOnes_Mixed,1.2334e+07,1000000,1
21,bit_vector,16,NOT,7.9806e+07,1000000,1
21,bit_vector,16,AND,7.839e+07,1000000,1
21,bit_vector,16,OR,1.11812e+08,1000000,1
21,bit_vector,16,NAND,9.0488e+07,1000000,1
21,bit_vector,16,NOR,9.8155e+07,1000000,1
21,bit_vector,16,XOR,7.636e+07,1000000,1
21,bit_vector,16,EQU,7.7974e+07,1000000,1
21,bit_vector,16,R_SHIFT_0.25l,8.0771e+07,1000000,1
21,bit_vector,16,R_SHIFT_0.5l,8.0693e+07,1000000,1
21,bit_vector,16,R_SHIFT_1l,8.036e+07,1000000,1
21,bit_vector,16,L_SHIFT_0.25l,8.2673e+07,1000000,1
21,bit_vector,16,L_SHIFT_0.5l,8.0857e+07,1000000,1
